location,address,neighborhood,latitude,longitude
"Veterans Park, Redondo Beach","309 Esplanade, Redondo Beach, CA 90277",South Bay,33.83765496,-118.3893736
Los Angeles State Historic Park,"1245 N Spring St, Los Angeles, CA 90012",Chinatown,34.06890374,-118.2317574
Griffith Park,"2840 W Observatory Rd, Los Angeles, CA 90027",Central L.A.,34.12108421,-118.3003608
Northern Thai Food Club,"5301 Sunset Blvd #11, Los Angeles, CA 90027",East Hollywood,34.09839921,-118.3061344
Topanga State Park,"20828 Entrada Rd, Topanga, CA 90290",Pacific Palisades,34.10415489,-118.5721642
Pelican Cove,"31300 Palos Verdes Dr S, Rancho Palos Verdes, CA 90275",Rancho Palos Verdes,33.74117593,-118.404261
Marina Del Rey,"14001 Fiji Way, Marina Del Rey, CA 90292",Marina Del Rey,33.96683484,-118.4479017
The Culver Steps,"9300 Culver Blvd, Culver City, CA 90232",Culver City,34.02480359,-118.3936288
Eaton Canyon Falls,"1999 Veranada Ave, Pasadena, CA 91107",Pasadena,34.20370687,-118.1037647
East West Players,"120 Judge John Aiso St, Los Angeles, CA 90012",Downtown,34.05086841,-118.2400908
Academy Museum of Motion Pictures,"6067 Wilshire Blvd, Los Angeles, CA 90036",Mid-Wilshire,34.06349254,-118.3608091
Staples Center,"1111 S Figueroa St, Los Angeles, CA 90015",Downtown,34.04305867,-118.2672485
Wat Thai of Los Angeles,"8225 Coldwater Canyon Ave, North Hollywood, CA 91605",Sun Valley,34.22071631,-118.4147518
Natural History Museum of Los Angeles County,"900 W Exposition Blvd, Los Angeles, CA 90007",Exposition Park,34.01711675,-118.2887871
El Pueblo de Los Angeles,"125 Paseo De La Plaza, Los Angeles, CA 90012",Downtown,34.05660954,-118.2387565
Santa Monica Pier,"395 Santa Monica Pier, Santa Monica, CA 90401",Santa Monica,34.00765241,-118.500017
California Science Center,"700 Exposition Park Dr, Los Angeles, CA 90037",Exposition Park,34.01607408,-118.2860673
Descanso Gardens,"1418 Descanso Dr, La Cañada Flintridge, CA 91011",La Cañada Flintridge,34.2020107,-118.2112299
Daikokuya,"327 1st St, Los Angeles, CA 90012",Downtown,34.06120792,-118.2390999
Fugetsu-Do,"315 1st St, Los Angeles, CA 90012",Downtown,34.05043789,-118.2403318
"Franklin Murphy Sculpture Garden, UCLA","Franklin D. Murphy Sculpture Garden, 245 Charles E Young Dr E, Los Angeles, CA 90095",Westwood,34.07523328,-118.4400011
LACMA,"5905 Wilshire Blvd, Los Angeles, CA 90036",Mid-Wilshire,34.06409226,-118.3592293
Will Rogers State Park,"1515 Service Rd, Pacific Palisades, CA 90272",Pacific Palisades,34.05704628,-118.5124233
Manhatttan Beach,"2 Manhattan Beach Blvd, Manhattan Beach, CA 90266",Manhattan Beach,33.88580592,-118.4136955
Beverly Wilshire Hotel,"9500 Wilshire Blvd, Beverly Hills, CA 90212",Beverly Hills,34.06704079,-118.401146
"Porto's Bakery and Cafe, Downey","8233 Firestone Blvd, Downey, CA 90241",Downey,33.94089769,-118.1335505
The Pasadena Playhouse,"39 S El Molino Ave, Pasadena, CA 91101",Pasadena,34.14525605,-118.1373428
old Los Angeles Times building,"202 W 1st St, Los Angeles, CA 90012",Downtown,34.05306222,-118.2456176
"Los Angeles River, Frogtown","3030 Gilroy St, Los Angeles, CA 90039",Elysian Valley,34.10822996,-118.2501811
